node,availability_carrier
AT,0.83989200913242
BE,0.006047488584474885
BG,17.94294680921964
CZ,0.21591335616438356
DE,59.0
DK,1.5811340182648401
EE,11.808722256563529
EL,16.605158085877132
ES,13.656872527210941
FI,6.780743931827284
FR,0.02067568493150685
HR,0.9360644977168949
HU,23.30975286693447
IE,2.1924649543378996
IT,34.342379104374956
LT,9.98712756334283
NL,22.91589577625571
NO,141.63459256523223
PL,14.343420658003971
RO,47.91276928124929
RS,0.43187591324200914
SI,0.006144634703196347
SK,61.87816022648968
UK,50.19200913242009
