scenario,time,node,demandCarrier
a,0,Rome,
a,0,Zurich,
a,0,Berlin,
a,1,Rome,
a,1,Zurich,
a,1,Berlin,
a,2,Rome,
a,2,Zurich,
a,2,Berlin,
b,0,Rome,
b,0,Zurich,
b,0,Berlin,
b,1,Rome,
b,1,Zurich,
b,1,Berlin,
b,2,Rome,
b,2,Zurich,
b,2,Berlin,
c,0,Rome,
c,0,Zurich,
c,0,Berlin,
c,1,Rome,
c,1,Zurich,
c,1,Berlin,
c,2,Rome,
c,2,Zurich,
c,2,Berlin,
d,0,Rome,
d,0,Zurich,
d,0,Berlin,
d,1,Rome,
d,1,Zurich,
d,1,Berlin,
d,2,Rome,
d,2,Zurich,
d,2,Berlin,
e,0,Rome,
e,0,Zurich,
e,0,Berlin,
e,1,Rome,
e,1,Zurich,
e,1,Berlin,
e,2,Rome,
e,2,Zurich,
e,2,Berlin,
f,0,Rome,
f,0,Zurich,
f,0,Berlin,
f,1,Rome,
f,1,Zurich,
f,1,Berlin,
f,2,Rome,
f,2,Zurich,
f,2,Berlin,
g,0,Rome,
g,0,Zurich,
g,0,Berlin,
g,1,Rome,
g,1,Zurich,
g,1,Berlin,
g,2,Rome,
g,2,Zurich,
g,2,Berlin,
h,0,Rome,
h,0,Zurich,
h,0,Berlin,
h,1,Rome,
h,1,Zurich,
h,1,Berlin,
h,2,Rome,
h,2,Zurich,
h,2,Berlin,
i,0,Rome,
i,0,Zurich,
i,0,Berlin,
i,1,Rome,
i,1,Zurich,
i,1,Berlin,
i,2,Rome,
i,2,Zurich,
i,2,Berlin,
j,0,Rome,
j,0,Zurich,
j,0,Berlin,
j,1,Rome,
j,1,Zurich,
j,1,Berlin,
j,2,Rome,
j,2,Zurich,
j,2,Berlin,
